epoch,accuracy,loss,val_accuracy,val_loss
0,0.9089136719703674,0.41848722100257874,0.9194895029067993,0.22581925988197327
1,0.9175927639007568,0.2339814454317093,0.9194895029067993,0.2378207892179489
2,0.9175929427146912,0.22551079094409943,0.9194895029067993,0.23466090857982635
3,0.9175929427146912,0.2252962291240692,0.9194895029067993,0.2420506775379181
4,0.9175927639007568,0.21664977073669434,0.9194895029067993,0.21937958896160126
5,0.9176526665687561,0.21222203969955444,0.919650673866272,0.23109476268291473
6,0.9193593859672546,0.20587240159511566,0.9259217977523804,0.19763416051864624
7,0.9267293810844421,0.19158820807933807,0.931423544883728,0.1891181766986847
8,0.9281231760978699,0.1884300857782364,0.9345165491104126,0.19999286532402039
9,0.9292811751365662,0.1906745731830597,0.9269331097602844,0.19949333369731903
10,0.9279736280441284,0.19426709413528442,0.9268037676811218,0.1896471232175827
11,0.9322462677955627,0.18066033720970154,0.9341909289360046,0.17196977138519287
12,0.9354969263076782,0.1662675142288208,0.9328750371932983,0.17262732982635498
13,0.939055860042572,0.1577821671962738,0.9453180432319641,0.15184171497821808
14,0.9408695697784424,0.1542319357395172,0.9383491277694702,0.1584993153810501
15,0.9403328895568848,0.1522666960954666,0.944130539894104,0.1572050005197525
16,0.9469069242477417,0.13498061895370483,0.9499872326850891,0.13024473190307617
17,0.9478166103363037,0.12894760072231293,0.9418176412582397,0.15525320172309875
18,0.9519140124320984,0.11961549520492554,0.9544399380683899,0.11814127117395401
19,0.9561604857444763,0.11148566007614136,0.951763927936554,0.12193808704614639
20,0.9596370458602905,0.09897887706756592,0.9556417465209961,0.11209440231323242
21,0.9601559042930603,0.09969045966863632,0.9568086862564087,0.10670705884695053
22,0.9644910097122192,0.08716685324907303,0.9569951891899109,0.11124126613140106
23,0.9664103984832764,0.08193042874336243,0.9596899151802063,0.09774762392044067
24,0.968584418296814,0.07621954381465912,0.9623165130615234,0.09236501157283783
25,0.9707938432693481,0.07038165628910065,0.9607343673706055,0.09253629297018051
26,0.973429262638092,0.061545535922050476,0.9652034640312195,0.09233205765485764
27,0.9735602736473083,0.060958437621593475,0.9650304913520813,0.09187517315149307
28,0.9719715118408203,0.06526456773281097,0.9613450765609741,0.09928014874458313
29,0.9754154682159424,0.055547602474689484,0.9645339846611023,0.13389882445335388
30,0.9753763675689697,0.05505411699414253,0.9678281545639038,0.08503490686416626
31,0.9765295386314392,0.05273965373635292,0.9624630212783813,0.09436654299497604
32,0.9774215221405029,0.047688886523246765,0.9707221984863281,0.08003267645835876
33,0.9805075526237488,0.039548762142658234,0.9714964032173157,0.07880295813083649
34,0.981063961982727,0.037929512560367584,0.9720705151557922,0.07158274203538895
35,0.9837586283683777,0.029077991843223572,0.9719530344009399,0.0786391869187355
36,0.9804847836494446,0.0396064855158329,0.9661081433296204,0.09995706379413605
37,0.9735420346260071,0.059725791215896606,0.9666513204574585,0.08674728870391846
38,0.9813404679298401,0.03634416311979294,0.9708301424980164,0.08265070617198944
39,0.9814370274543762,0.035841554403305054,0.9722105264663696,0.07942615449428558
40,0.9833836555480957,0.030910780653357506,0.9728851318359375,0.0834633931517601
41,0.9859911203384399,0.02223561517894268,0.9746177792549133,0.085447296500206
42,0.986996054649353,0.01944013498723507,0.9761903882026672,0.0756901428103447
43,0.9874679446220398,0.01818135567009449,0.9745227694511414,0.09332706034183502
44,0.9846660494804382,0.027570633217692375,0.9726656079292297,0.09521299600601196
45,0.9860828518867493,0.022314060479402542,0.9734594225883484,0.09206730127334595
46,0.9859687089920044,0.022160176187753677,0.9746559262275696,0.07964470237493515
47,0.9880742430686951,0.016036562621593475,0.9761425256729126,0.09042976796627045
48,0.9887703657150269,0.014037441462278366,0.9760026931762695,0.09887832403182983
49,0.9890989065170288,0.013070384971797466,0.9768463373184204,0.09117665141820908
